timestep,message
6,"[Pogoda] Wiatr: 20.0 km/h | Słońce: 65%
[Produkcja] OZE: 40.1 MW | Konwencjonalna: 0.0 MW | Baterie: 100% (SoC)
[Sieć] Popyt: 16.0 MW | Bilans: 24.1 MW | Stan: STABLE"
1780341950,residential chce 3.0 MW (priorytet 3)
1780341950,industrial chce 30.0 MW (priorytet 2)
1780341950,critical chce 8.0 MW (priorytet 1)
1780341950,Prognoza: zmiana mocy OZE o 3.4 MW
7,"[Pogoda] Wiatr: 23.3 km/h | Słońce: 63%
[Produkcja] OZE: 54.5 MW | Konwencjonalna: 0.0 MW | Baterie: 100% (SoC)
[Sieć] Popyt: 41.0 MW | Bilans: 13.5 MW | Stan: STABLE"
1780341950,residential chce 10.0 MW (priorytet 3)
1780341950,industrial chce 30.0 MW (priorytet 2)
1780341950,critical chce 8.0 MW (priorytet 1)
8,"[Pogoda] Wiatr: 29.2 km/h | Słońce: 64%
[Produkcja] OZE: 85.3 MW | Konwencjonalna: 0.0 MW | Baterie: 100% (SoC)
[Sieć] Popyt: 48.0 MW | Bilans: 37.3 MW | Stan: STABLE"
1780341950,Prognoza: zmiana mocy OZE o 1.8 MW
1780341950,industrial chce 30.0 MW (priorytet 2)
1780341950,residential chce 10.0 MW (priorytet 3)
1780341950,critical chce 8.0 MW (priorytet 1)
1780341950,Prognoza: zmiana mocy OZE o -1.3 MW
9,"[Pogoda] Wiatr: 29.4 km/h | Słońce: 64%
[Produkcja] OZE: 86.2 MW | Konwencjonalna: 0.0 MW | Baterie: 100% (SoC)
[Sieć] Popyt: 48.0 MW | Bilans: 38.2 MW | Stan: STABLE"
1780341950,industrial chce 30.0 MW (priorytet 2)
1780341950,critical chce 8.0 MW (priorytet 1)
1780341950,residential chce 10.0 MW (priorytet 3)
1780341950,Prognoza: zmiana mocy OZE o -6.3 MW
10,"[Pogoda] Wiatr: 25.7 km/h | Słońce: 71%
[Produkcja] OZE: 66.1 MW | Konwencjonalna: 0.0 MW | Baterie: 100% (SoC)
[Sieć] Popyt: 48.0 MW | Bilans: 18.1 MW | Stan: STABLE"
1780341950,critical chce 8.0 MW (priorytet 1)
1780341950,industrial chce 40.0 MW (priorytet 2)
1780341950,residential chce 3.0 MW (priorytet 3)
1780341951,Prognoza: zmiana mocy OZE o 0.4 MW
11,"[Pogoda] Wiatr: 27.9 km/h | Słońce: 70%
[Produkcja] OZE: 78.1 MW | Konwencjonalna: 0.0 MW | Baterie: 100% (SoC)
[Sieć] Popyt: 51.0 MW | Bilans: 27.1 MW | Stan: STABLE"
1780341951,critical chce 8.0 MW (priorytet 1)
1780341951,residential chce 3.0 MW (priorytet 3)
1780341951,industrial chce 30.0 MW (priorytet 2)
12,"[Pogoda] Wiatr: 27.9 km/h | Słońce: 73%
[Produkcja] OZE: 77.7 MW | Konwencjonalna: 0.0 MW | Baterie: 100% (SoC)
[Sieć] Popyt: 41.0 MW | Bilans: 36.7 MW | Stan: STABLE"
1780341951,Prognoza: zmiana mocy OZE o -1.5 MW
1780341951,industrial chce 30.0 MW (priorytet 2)
1780341951,residential chce 3.0 MW (priorytet 3)
1780341951,critical chce 8.0 MW (priorytet 1)
13,"[Pogoda] Wiatr: 29.1 km/h | Słońce: 73%
[Produkcja] OZE: 84.5 MW | Konwencjonalna: 0.0 MW | Baterie: 100% (SoC)
[Sieć] Popyt: 41.0 MW | Bilans: 43.5 MW | Stan: STABLE"
1780341951,Prognoza: zmiana mocy OZE o 3.2 MW
1780341951,critical chce 8.0 MW (priorytet 1)
1780341951,industrial chce 30.0 MW (priorytet 2)
1780341951,residential chce 3.0 MW (priorytet 3)
1780341951,Prognoza: zmiana mocy OZE o 0.9 MW
14,"[Pogoda] Wiatr: 29.6 km/h | Słońce: 80%
[Produkcja] OZE: 85.8 MW | Konwencjonalna: 0.0 MW | Baterie: 100% (SoC)
[Sieć] Popyt: 41.0 MW | Bilans: 44.8 MW | Stan: STABLE"
1780341951,critical chce 8.0 MW (priorytet 1)
1780341951,residential chce 3.0 MW (priorytet 3)
1780341951,industrial chce 30.0 MW (priorytet 2)
1780341951,Prognoza: zmiana mocy OZE o -5.2 MW
15,"[Pogoda] Wiatr: 28.3 km/h | Słońce: 77%
[Produkcja] OZE: 80.3 MW | Konwencjonalna: 0.0 MW | Baterie: 100% (SoC)
[Sieć] Popyt: 41.0 MW | Bilans: 39.3 MW | Stan: STABLE"
1780341951,critical chce 8.0 MW (priorytet 1)
1780341951,residential chce 3.0 MW (priorytet 3)
1780341951,industrial chce 40.0 MW (priorytet 2)
1780341951,Prognoza: zmiana mocy OZE o -4.0 MW
16,"[Pogoda] Wiatr: 27.8 km/h | Słońce: 77%
[Produkcja] OZE: 77.1 MW | Konwencjonalna: 0.0 MW | Baterie: 100% (SoC)
[Sieć] Popyt: 51.0 MW | Bilans: 26.1 MW | Stan: STABLE"
1780341951,critical chce 8.0 MW (priorytet 1)
1780341951,residential chce 3.0 MW (priorytet 3)
1780341951,industrial chce 30.0 MW (priorytet 2)
17,"[Pogoda] Wiatr: 28.3 km/h | Słońce: 77%
[Produkcja] OZE: 79.8 MW | Konwencjonalna: 0.0 MW | Baterie: 100% (SoC)
[Sieć] Popyt: 41.0 MW | Bilans: 38.8 MW | Stan: STABLE"
1780341951,industrial chce 30.0 MW (priorytet 2)
1780341951,critical chce 8.0 MW (priorytet 1)
1780341951,residential chce 3.0 MW (priorytet 3)
1780341951,Prognoza: zmiana mocy OZE o -3.5 MW
18,"[Pogoda] Wiatr: 29.1 km/h | Słońce: 72%
[Produkcja] OZE: 84.5 MW | Konwencjonalna: 0.0 MW | Baterie: 100% (SoC)
[Sieć] Popyt: 41.0 MW | Bilans: 43.5 MW | Stan: STABLE"
1780341951,residential chce 10.0 MW (priorytet 3)
1780341951,Prognoza: zmiana mocy OZE o 4.5 MW
1780341951,industrial chce 30.0 MW (priorytet 2)
1780341951,critical chce 8.0 MW (priorytet 1)
19,"[Pogoda] Wiatr: 28.8 km/h | Słońce: 79%
[Produkcja] OZE: 82.9 MW | Konwencjonalna: 0.0 MW | Baterie: 100% (SoC)
[Sieć] Popyt: 48.0 MW | Bilans: 34.9 MW | Stan: STABLE"
1780341951,residential chce 10.0 MW (priorytet 3)
1780341951,Prognoza: zmiana mocy OZE o 0.2 MW
1780341951,industrial chce 5.0 MW (priorytet 2)
1780341951,critical chce 8.0 MW (priorytet 1)
20,"[Pogoda] Wiatr: 27.0 km/h | Słońce: 75%
[Produkcja] OZE: 72.9 MW | Konwencjonalna: 0.0 MW | Baterie: 100% (SoC)
[Sieć] Popyt: 23.0 MW | Bilans: 49.9 MW | Stan: STABLE"
1780341951,residential chce 10.0 MW (priorytet 3)
1780341951,Prognoza: zmiana mocy OZE o 0.4 MW
1780341951,industrial chce 5.0 MW (priorytet 2)
1780341951,critical chce 8.0 MW (priorytet 1)
1780341952,Prognoza: zmiana mocy OZE o -1.0 MW
21,"[Pogoda] Wiatr: 23.7 km/h | Słońce: 80%
[Produkcja] OZE: 55.9 MW | Konwencjonalna: 0.0 MW | Baterie: 100% (SoC)
[Sieć] Popyt: 23.0 MW | Bilans: 32.9 MW | Stan: STABLE"
1780341952,critical chce 8.0 MW (priorytet 1)
1780341952,residential chce 10.0 MW (priorytet 3)
1780341952,industrial chce 5.0 MW (priorytet 2)
1780341952,Prognoza: zmiana mocy OZE o -3.7 MW
22,"[Pogoda] Wiatr: 23.8 km/h | Słońce: 77%
[Produkcja] OZE: 56.7 MW | Konwencjonalna: 0.0 MW | Baterie: 100% (SoC)
[Sieć] Popyt: 23.0 MW | Bilans: 33.7 MW | Stan: STABLE"
1780341952,critical chce 8.0 MW (priorytet 1)
1780341952,residential chce 10.0 MW (priorytet 3)
1780341952,industrial chce 5.0 MW (priorytet 2)
23,"[Pogoda] Wiatr: 19.8 km/h | Słońce: 90%
[Produkcja] OZE: 39.2 MW | Konwencjonalna: 0.0 MW | Baterie: 100% (SoC)
[Sieć] Popyt: 23.0 MW | Bilans: 16.2 MW | Stan: STABLE"
1780341952,residential chce 3.0 MW (priorytet 3)
1780341952,Prognoza: zmiana mocy OZE o -9.0 MW
1780341952,industrial chce 5.0 MW (priorytet 2)
1780341952,critical chce 8.0 MW (priorytet 1)
24,"[Pogoda] Wiatr: 21.8 km/h | Słońce: 93%
[Produkcja] OZE: 47.7 MW | Konwencjonalna: 0.0 MW | Baterie: 100% (SoC)
[Sieć] Popyt: 16.0 MW | Bilans: 31.7 MW | Stan: STABLE"
1780341952,critical chce 8.0 MW (priorytet 1)
1780341952,Prognoza: zmiana mocy OZE o 1.3 MW
1780341952,residential chce 3.0 MW (priorytet 3)
1780341952,industrial chce 5.0 MW (priorytet 2)
1780341952,Prognoza: zmiana mocy OZE o 0.9 MW
25,"[Pogoda] Wiatr: 23.7 km/h | Słońce: 100%
[Produkcja] OZE: 56.2 MW | Konwencjonalna: 0.0 MW | Baterie: 100% (SoC)
[Sieć] Popyt: 16.0 MW | Bilans: 40.2 MW | Stan: STABLE"
1780341952,critical chce 8.0 MW (priorytet 1)
1780341952,residential chce 3.0 MW (priorytet 3)
1780341952,industrial chce 5.0 MW (priorytet 2)
26,"[Pogoda] Wiatr: 22.4 km/h | Słońce: 93%
[Produkcja] OZE: 50.0 MW | Konwencjonalna: 0.0 MW | Baterie: 100% (SoC)
[Sieć] Popyt: 16.0 MW | Bilans: 34.0 MW | Stan: STABLE"
1780341952,residential chce 3.0 MW (priorytet 3)
1780341952,Prognoza: zmiana mocy OZE o -1.3 MW
1780341952,industrial chce 5.0 MW (priorytet 2)
1780341952,critical chce 8.0 MW (priorytet 1)
27,"[Pogoda] Wiatr: 23.9 km/h | Słońce: 89%
[Produkcja] OZE: 57.3 MW | Konwencjonalna: 0.0 MW | Baterie: 100% (SoC)
[Sieć] Popyt: 16.0 MW | Bilans: 41.3 MW | Stan: STABLE"
1780341952,critical chce 8.0 MW (priorytet 1)
1780341952,Prognoza: zmiana mocy OZE o 4.4 MW
1780341952,residential chce 3.0 MW (priorytet 3)
1780341952,industrial chce 5.0 MW (priorytet 2)
28,"[Pogoda] Wiatr: 21.9 km/h | Słońce: 96%
[Produkcja] OZE: 48.0 MW | Konwencjonalna: 0.0 MW | Baterie: 100% (SoC)
[Sieć] Popyt: 16.0 MW | Bilans: 32.0 MW | Stan: STABLE"
1780341952,residential chce 3.0 MW (priorytet 3)
1780341952,Prognoza: zmiana mocy OZE o -1.9 MW
1780341952,industrial chce 5.0 MW (priorytet 2)
1780341952,critical chce 8.0 MW (priorytet 1)
29,"[Pogoda] Wiatr: 22.1 km/h | Słońce: 97%
[Produkcja] OZE: 48.7 MW | Konwencjonalna: 0.0 MW | Baterie: 100% (SoC)
[Sieć] Popyt: 16.0 MW | Bilans: 32.7 MW | Stan: STABLE"
1780341952,critical chce 8.0 MW (priorytet 1)
1780341952,residential chce 3.0 MW (priorytet 3)
1780341952,industrial chce 5.0 MW (priorytet 2)
1780341952,Prognoza: zmiana mocy OZE o 0.2 MW
1780341952,Prognoza: zmiana mocy OZE o -2.1 MW
30,"[Pogoda] Wiatr: 18.9 km/h | Słońce: 98%
[Produkcja] OZE: 35.6 MW | Konwencjonalna: 0.0 MW | Baterie: 100% (SoC)
[Sieć] Popyt: 16.0 MW | Bilans: 19.6 MW | Stan: STABLE"
1780341952,residential chce 3.0 MW (priorytet 3)
1780341952,industrial chce 30.0 MW (priorytet 2)
1780341952,critical chce 8.0 MW (priorytet 1)
31,"[Pogoda] Wiatr: 16.1 km/h | Słońce: 98%
[Produkcja] OZE: 26.0 MW | Konwencjonalna: 0.0 MW | Baterie: 85% (SoC)
[Sieć] Popyt: 41.0 MW | Bilans: 0.0 MW | Stan: STABLE"
1780341953,Prognoza: zmiana mocy OZE o -6.3 MW
1780341953,residential chce 10.0 MW (priorytet 3)
1780341953,critical chce 8.0 MW (priorytet 1)
1780341953,industrial chce 30.0 MW (priorytet 2)
1780341953,Prognoza: zmiana mocy OZE o 3.2 MW
32,"[Pogoda] Wiatr: 18.8 km/h | Słońce: 94%
[Produkcja] OZE: 35.3 MW | Konwencjonalna: 0.0 MW | Baterie: 72% (SoC)
[Sieć] Popyt: 48.0 MW | Bilans: 0.0 MW | Stan: STABLE"
1780341953,critical chce 8.0 MW (priorytet 1)
1780341953,residential chce 10.0 MW (priorytet 3)
1780341953,industrial chce 30.0 MW (priorytet 2)
1780341953,Prognoza: zmiana mocy OZE o 3.4 MW
33,"[Pogoda] Wiatr: 20.0 km/h | Słońce: 89%
[Produkcja] OZE: 39.9 MW | Konwencjonalna: 0.0 MW | Baterie: 64% (SoC)
[Sieć] Popyt: 48.0 MW | Bilans: 0.0 MW | Stan: STABLE"
1780341953,residential chce 10.0 MW (priorytet 3)
1780341953,industrial chce 30.0 MW (priorytet 2)
1780341953,critical chce 8.0 MW (priorytet 1)
1780341953,Prognoza: zmiana mocy OZE o -0.7 MW
34,"[Pogoda] Wiatr: 20.7 km/h | Słońce: 86%
[Produkcja] OZE: 42.7 MW | Konwencjonalna: 0.0 MW | Baterie: 59% (SoC)
[Sieć] Popyt: 48.0 MW | Bilans: 0.0 MW | Stan: STABLE"
1780341953,critical chce 8.0 MW (priorytet 1)
1780341953,residential chce 3.0 MW (priorytet 3)
1780341953,industrial chce 40.0 MW (priorytet 2)
1780341953,Prognoza: zmiana mocy OZE o 0.9 MW
35,"[Pogoda] Wiatr: 21.9 km/h | Słońce: 87%
[Produkcja] OZE: 48.1 MW | Konwencjonalna: 0.0 MW | Baterie: 56% (SoC)
[Sieć] Popyt: 51.0 MW | Bilans: 0.0 MW | Stan: STABLE"
1780341953,residential chce 3.0 MW (priorytet 3)
1780341953,industrial chce 30.0 MW (priorytet 2)
1780341953,critical chce 8.0 MW (priorytet 1)
36,"[Pogoda] Wiatr: 22.7 km/h | Słońce: 87%
[Produkcja] OZE: 51.4 MW | Konwencjonalna: 0.0 MW | Baterie: 66% (SoC)
[Sieć] Popyt: 41.0 MW | Bilans: 10.4 MW | Stan: STABLE"
1780341953,Prognoza: zmiana mocy OZE o -0.8 MW
1780341953,industrial chce 30.0 MW (priorytet 2)
1780341953,residential chce 3.0 MW (priorytet 3)
1780341953,critical chce 8.0 MW (priorytet 1)
37,"[Pogoda] Wiatr: 22.6 km/h | Słońce: 89%
[Produkcja] OZE: 50.9 MW | Konwencjonalna: 0.0 MW | Baterie: 76% (SoC)
[Sieć] Popyt: 41.0 MW | Bilans: 9.9 MW | Stan: STABLE"
1780341953,industrial chce 30.0 MW (priorytet 2)
1780341953,residential chce 3.0 MW (priorytet 3)
1780341953,critical chce 8.0 MW (priorytet 1)
1780341953,Prognoza: zmiana mocy OZE o 5.3 MW
38,"[Pogoda] Wiatr: 22.8 km/h | Słońce: 81%
[Produkcja] OZE: 52.1 MW | Konwencjonalna: 0.0 MW | Baterie: 87% (SoC)
[Sieć] Popyt: 41.0 MW | Bilans: 11.1 MW | Stan: STABLE"
1780341953,Prognoza: zmiana mocy OZE o -4.2 MW
1780341953,industrial chce 30.0 MW (priorytet 2)
1780341953,residential chce 3.0 MW (priorytet 3)
1780341953,critical chce 8.0 MW (priorytet 1)
1780341953,Prognoza: zmiana mocy OZE o 10.4 MW
39,"[Pogoda] Wiatr: 28.0 km/h | Słońce: 82%
[Produkcja] OZE: 78.7 MW | Konwencjonalna: 0.0 MW | Baterie: 100% (SoC)
[Sieć] Popyt: 41.0 MW | Bilans: 37.7 MW | Stan: STABLE"
1780341953,critical chce 8.0 MW (priorytet 1)
1780341953,residential chce 3.0 MW (priorytet 3)
1780341953,industrial chce 40.0 MW (priorytet 2)
1780341953,Prognoza: zmiana mocy OZE o -0.5 MW
40,"[Pogoda] Wiatr: 24.4 km/h | Słońce: 82%
[Produkcja] OZE: 59.7 MW | Konwencjonalna: 0.0 MW | Baterie: 100% (SoC)
[Sieć] Popyt: 51.0 MW | Bilans: 8.7 MW | Stan: STABLE"
1780341953,residential chce 3.0 MW (priorytet 3)
1780341953,industrial chce 30.0 MW (priorytet 2)
1780341953,critical chce 8.0 MW (priorytet 1)
1780341954,Prognoza: zmiana mocy OZE o -0.0 MW
41,"[Pogoda] Wiatr: 25.6 km/h | Słońce: 78%
[Produkcja] OZE: 65.7 MW | Konwencjonalna: 0.0 MW | Baterie: 100% (SoC)
[Sieć] Popyt: 41.0 MW | Bilans: 24.7 MW | Stan: STABLE"
1780341954,residential chce 3.0 MW (priorytet 3)
1780341954,industrial chce 30.0 MW (priorytet 2)
1780341954,critical chce 8.0 MW (priorytet 1)
1780341954,Prognoza: zmiana mocy OZE o 2.3 MW
42,"[Pogoda] Wiatr: 24.2 km/h | Słońce: 77%
[Produkcja] OZE: 58.8 MW | Konwencjonalna: 0.0 MW | Baterie: 100% (SoC)
[Sieć] Popyt: 41.0 MW | Bilans: 17.8 MW | Stan: STABLE"
1780341954,industrial chce 30.0 MW (priorytet 2)
1780341954,critical chce 8.0 MW (priorytet 1)
1780341954,residential chce 10.0 MW (priorytet 3)
43,"[Pogoda] Wiatr: 27.2 km/h | Słońce: 78%
[Produkcja] OZE: 73.9 MW | Konwencjonalna: 0.0 MW | Baterie: 100% (SoC)
[Sieć] Popyt: 48.0 MW | Bilans: 25.9 MW | Stan: STABLE"
1780341954,Prognoza: zmiana mocy OZE o 3.5 MW
1780341954,industrial chce 5.0 MW (priorytet 2)
1780341954,residential chce 10.0 MW (priorytet 3)
1780341954,critical chce 8.0 MW (priorytet 1)
1780341954,Prognoza: zmiana mocy OZE o -1.5 MW
44,"[Pogoda] Wiatr: 29.2 km/h | Słońce: 84%
[Produkcja] OZE: 81.1 MW | Konwencjonalna: 0.0 MW | Baterie: 100% (SoC)
[Sieć] Popyt: 23.0 MW | Bilans: 58.1 MW | Stan: STABLE"
1780341954,residential chce 10.0 MW (priorytet 3)
1780341954,industrial chce 5.0 MW (priorytet 2)
1780341954,critical chce 8.0 MW (priorytet 1)
45,"[Pogoda] Wiatr: 22.8 km/h | Słońce: 79%
[Produkcja] OZE: 52.1 MW | Konwencjonalna: 0.0 MW | Baterie: 100% (SoC)
[Sieć] Popyt: 23.0 MW | Bilans: 29.1 MW | Stan: STABLE"
1780341954,critical chce 8.0 MW (priorytet 1)
1780341954,industrial chce 5.0 MW (priorytet 2)
1780341954,residential chce 10.0 MW (priorytet 3)
1780341954,Prognoza: zmiana mocy OZE o -3.7 MW
1780341954,Prognoza: zmiana mocy OZE o -2.4 MW
46,"[Pogoda] Wiatr: 20.4 km/h | Słońce: 87%
[Produkcja] OZE: 41.5 MW | Konwencjonalna: 0.0 MW | Baterie: 100% (SoC)
[Sieć] Popyt: 23.0 MW | Bilans: 18.5 MW | Stan: STABLE"
1780341954,critical chce 8.0 MW (priorytet 1)
1780341954,residential chce 10.0 MW (priorytet 3)
1780341954,industrial chce 5.0 MW (priorytet 2)
47,"[Pogoda] Wiatr: 20.3 km/h | Słońce: 91%
[Produkcja] OZE: 41.1 MW | Konwencjonalna: 0.0 MW | Baterie: 100% (SoC)
[Sieć] Popyt: 23.0 MW | Bilans: 18.1 MW | Stan: STABLE"
1780341954,critical chce 8.0 MW (priorytet 1)
1780341954,residential chce 3.0 MW (priorytet 3)
1780341954,industrial chce 5.0 MW (priorytet 2)
1780341954,Prognoza: zmiana mocy OZE o -0.2 MW
1780341954,Prognoza: zmiana mocy OZE o -5.6 MW
48,"[Pogoda] Wiatr: 17.4 km/h | Słońce: 87%
[Produkcja] OZE: 30.2 MW | Konwencjonalna: 0.0 MW | Baterie: 100% (SoC)
[Sieć] Popyt: 16.0 MW | Bilans: 14.2 MW | Stan: STABLE"
1780341954,critical chce 8.0 MW (priorytet 1)
1780341954,residential chce 3.0 MW (priorytet 3)
1780341954,industrial chce 5.0 MW (priorytet 2)
1780341954,Prognoza: zmiana mocy OZE o 1.2 MW
49,"[Pogoda] Wiatr: 17.3 km/h | Słońce: 86%
[Produkcja] OZE: 29.9 MW | Konwencjonalna: 0.0 MW | Baterie: 100% (SoC)
[Sieć] Popyt: 16.0 MW | Bilans: 13.9 MW | Stan: STABLE"
1780341954,residential chce 3.0 MW (priorytet 3)
1780341954,industrial chce 5.0 MW (priorytet 2)
1780341954,critical chce 8.0 MW (priorytet 1)
1780341954,Prognoza: zmiana mocy OZE o -9.2 MW
50,"[Pogoda] Wiatr: 11.7 km/h | Słońce: 85%
[Produkcja] OZE: 13.7 MW | Konwencjonalna: 0.0 MW | Baterie: 98% (SoC)
[Sieć] Popyt: 16.0 MW | Bilans: 0.0 MW | Stan: STABLE"
1780341954,critical chce 8.0 MW (priorytet 1)
1780341954,residential chce 3.0 MW (priorytet 3)
1780341954,industrial chce 5.0 MW (priorytet 2)
1780341955,Prognoza: zmiana mocy OZE o 1.1 MW
51,"[Pogoda] Wiatr: 15.3 km/h | Słońce: 83%
[Produkcja] OZE: 23.3 MW | Konwencjonalna: 0.0 MW | Baterie: 100% (SoC)
[Sieć] Popyt: 16.0 MW | Bilans: 7.3 MW | Stan: STABLE"
1780341955,critical chce 8.0 MW (priorytet 1)
1780341955,residential chce 3.0 MW (priorytet 3)
1780341955,industrial chce 5.0 MW (priorytet 2)
1780341955,Prognoza: zmiana mocy OZE o -2.8 MW
52,"[Pogoda] Wiatr: 13.3 km/h | Słońce: 85%
[Produkcja] OZE: 17.8 MW | Konwencjonalna: 0.0 MW | Baterie: 100% (SoC)
[Sieć] Popyt: 16.0 MW | Bilans: 1.8 MW | Stan: STABLE"
1780341955,residential chce 3.0 MW (priorytet 3)
1780341955,industrial chce 5.0 MW (priorytet 2)
1780341955,critical chce 8.0 MW (priorytet 1)
